secid,date,exdate,last_date,cp_flag,strike_price,best_bid,best_offer,volume,optionid,index_flag,issuer,exercise_style
108105,20200908,20201007,,P,3390000,121.2,123,0,135904243,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,20200908,P,3400000,126.3,128.1,53,135904244,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,20200908,P,3410000,131.6,133.5,50,135904245,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,P,3420000,137.2,139,0,135904246,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,20200908,P,3425000,140.1,141.9,50,135904247,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,20200908,P,3430000,143,144.8,50,135904248,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,20200908,P,3440000,149,150.8,25,135904249,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,20200908,P,3450000,155.2,157,25,135904250,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,P,3460000,161.6,163.4,0,135904251,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,P,3470000,168.3,170.1,0,135904252,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,P,3475000,171.7,173.5,0,135904253,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,P,3480000,175.2,177,0,135904254,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,20200908,P,3490000,182.3,184.1,50,135904255,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,20200908,P,3500000,189.6,191.4,50,135904256,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,P,3510000,197.2,198.9,0,135904257,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,P,3520000,198,213.3,0,135904258,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,P,3525000,201.9,217.2,0,135904259,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,P,3530000,205.9,221.2,0,135904260,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,P,3540000,210.3,233.2,0,135904261,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,P,3550000,218.6,241.5,0,135904262,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,P,3575000,240.1,263,0,135904263,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,P,3600000,262.4,285.3,0,135904264,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,P,3625000,285.5,308.4,0,135904265,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,P,3650000,309,331.9,0,135904266,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,P,3675000,333,355.9,0,135904267,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,P,3700000,357.3,380.1,0,135904268,1,CBOE S&P 500 INDEX,E
