 
                                                                                                                                                                                                                                                                
 
                                                          exercise_    index_                   last_                            best_              strike_
 optionid          issuer              date    cp_flag      style       flag       exdate        date     secid    best_bid      offer    volume     price
134227952    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200817    108105      408.50     412.60         0    2930000
134592275    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200618    108105      403.50     407.20         0    2935000
134227953    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200824    108105      398.70     402.80         0    2940000
134592276    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200624    108105      393.90     398.00         0    2945000
129372862    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200904    108105      388.90     392.60         0    2950000
134592277    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200820    108105      384.10     388.20         0    2955000
134227954    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200827    108105      379.20     382.90         0    2960000
134592278    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200824    108105      374.40     378.50         0    2965000
134227955    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200824    108105      369.50     373.20         0    2970000
129372863    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200903    108105      364.80     368.80         0    2975000
134227956    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200629    108105      359.90     364.00         0    2980000
134592279    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200820    108105      355.00     358.70         0    2985000
134227957    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200820    108105      350.20     353.90         0    2990000
134592280    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200903    108105      345.40     349.10         0    2995000
133485148    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200701    108105     3032.40    3037.90         0     300000
129372864    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200908    108105      340.60     344.30         4    3000000
134592281    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200904    108105      335.80     339.50         0    3005000
134227958    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200824    108105      331.00     334.70         0    3010000
134592282    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200630    108105      326.20     329.90         0    3015000
